time_ms,v,w,left_wheel,right_wheel
17821,0.8,-0.029029,0.829029,0.770971
17871,0.8,-0.0287875,0.828788,0.771212
17921,0.8,-0.0285462,0.828546,0.771454
17971,0.8,-0.028305,0.828305,0.771695
18021,0.8,-0.028064,0.828064,0.771936
18071,0.8,-0.0278232,0.827823,0.772177
18121,0.8,-0.0275827,0.827583,0.772417
18171,0.8,-0.0273425,0.827342,0.772658
18221,0.8,-0.0271026,0.827103,0.772897
18271,0.8,-0.026863,0.826863,0.773137
18321,0.8,-0.0266238,0.826624,0.773376
18371,0.8,-0.026385,0.826385,0.773615
18421,0.8,-0.0261465,0.826147,0.773853
18471,0.8,-0.0259085,0.825909,0.774091
18521,0.8,-0.025671,0.825671,0.774329
18571,0.8,-0.0248072,0.824807,0.775193
18621,0.8,-0.0246219,0.824622,0.775378
18671,0.8,-0.0244365,0.824436,0.775564
18721,0.8,-0.0242508,0.824251,0.775749
18771,0.8,-0.024065,0.824065,0.775935
18821,0.8,-0.0238791,0.823879,0.776121
18871,0.8,-0.0236931,0.823693,0.776307
18921,0.8,-0.023507,0.823507,0.776493
18971,0.8,-0.0233209,0.823321,0.776679
19021,0.8,-0.0231347,0.823135,0.776865
19071,0.8,-0.0229485,0.822948,0.777052
19121,0.8,-0.0227624,0.822762,0.777238
19171,0.8,-0.0225762,0.822576,0.777424
19221,0.8,-0.0223901,0.82239,0.77761
19271,0.8,-0.0222041,0.822204,0.777796
19321,0.8,-0.0220027,0.822003,0.777997
19371,0.8,-0.0217866,0.821787,0.778213
19421,0.8,-0.0215185,0.821519,0.778481
19471,0.8,-0.0212324,0.821232,0.778768
19521,0.8,-0.0208789,0.820879,0.779121
19571,0.8,-0.0205117,0.820512,0.779488
19621,0.8,-0.0200886,0.820089,0.779911
19671,0.8,-0.0196369,0.819637,0.780363
19721,0.8,-0.0191506,0.819151,0.780849
19771,0.8,-0.0186178,0.818618,0.781382
19821,0.8,-0.0180686,0.818069,0.781931
19871,0.8,-0.0174557,0.817456,0.782544
19921,0.8,-0.0168315,0.816831,0.783169
19971,0.8,-0.0161536,0.816154,0.783846
20021,0.8,-0.0154505,0.815451,0.784549
20071,0.8,-0.0147142,0.814714,0.785286
20121,0.8,-0.0139327,0.813933,0.786067
20171,0.8,-0.0131397,0.81314,0.78686
20221,0.8,-0.01228,0.81228,0.78772
20271,0.8,-0.0114094,0.811409,0.788591
20321,0.8,-0.0104945,0.810494,0.789506
20371,0.8,-0.00954556,0.809546,0.790454
20421,0.8,-0.00857774,0.808578,0.791422
20471,0.8,-0.00755024,0.80755,0.79245
20521,0.8,-0.00651108,0.806511,0.793489
20571,0.8,-0.00542496,0.805425,0.794575
20621,0.8,-0.00498285,0.804983,0.795017
20671,0.8,-0.00498318,0.804983,0.795017
20721,0.8,-0.00498351,0.804984,0.795016
20771,0.8,-0.00498385,0.804984,0.795016
20821,0.8,-0.00498419,0.804984,0.795016
20871,0.8,-0.00498454,0.804985,0.795015
20921,0.8,-0.0049849,0.804985,0.795015
20971,0.8,-0.00498526,0.804985,0.795015
21021,0.8,-0.00498563,0.804986,0.795014
21071,0.8,-0.004986,0.804986,0.795014
21121,0.8,-0.00498638,0.804986,0.795014
21171,0.8,-0.00498677,0.804987,0.795013
21221,0.8,-0.00498717,0.804987,0.795013
21271,0.8,-0.00498757,0.804988,0.795012
21321,0.8,-0.00498798,0.804988,0.795012
21371,0.8,-0.00498839,0.804988,0.795012
21421,0.8,-0.00498882,0.804989,0.795011
21471,0.8,-0.00498925,0.804989,0.795011
21521,0.8,-0.00498969,0.80499,0.79501
21571,0.8,-0.00499014,0.80499,0.79501
21620,0.8,-0.0049906,0.804991,0.795009
21671,0.8,-0.00499106,0.804991,0.795009
21721,0.8,-0.00499154,0.804992,0.795008
21770,0.8,-0.00499202,0.804992,0.795008
21821,0.8,-0.00499252,0.804993,0.795007
21870,0.8,-0.00499302,0.804993,0.795007
21921,0.8,-0.00499354,0.804994,0.795006
21970,0.8,-0.00499406,0.804994,0.795006
22021,0.8,-0.0049946,0.804995,0.795005
22070,0.8,-0.00499515,0.804995,0.795005
22121,0.8,-0.00499571,0.804996,0.795004
22171,0.8,-0.00499628,0.804996,0.795004
22221,0.8,-0.00499687,0.804997,0.795003
22271,0.8,-0.00499747,0.804997,0.795003
22320,0.8,-0.00499808,0.804998,0.795002
22370,0.8,-0.0049987,0.804999,0.795001
22421,0.8,-0.00499934,0.804999,0.795001
22471,0.8,-0.005,0.805,0.795
22521,0.8,-0.00500066,0.805001,0.794999
22571,0.8,-0.00500135,0.805001,0.794999
22621,0.8,-0.00500205,0.805002,0.794998
22671,0.8,-0.00500277,0.805003,0.794997
22720,0.8,-0.00500351,0.805004,0.794996
22771,0.8,-0.00500426,0.805004,0.794996
22820,0.8,-0.00500504,0.805005,0.794995
22871,0.8,-0.00500583,0.805006,0.794994
22921,0.8,-0.00500664,0.805007,0.794993
22971,0.8,-0.00500748,0.805007,0.794993
23020,0.8,-0.00500834,0.805008,0.794992
23070,0.8,-0.00500922,0.805009,0.794991
23120,0.8,-0.00501012,0.80501,0.79499
23170,0.8,-0.00501105,0.805011,0.794989
23220,0.8,-0.00501201,0.805012,0.794988
23271,0.8,-0.00501299,0.805013,0.794987
23320,0.8,-0.005014,0.805014,0.794986
23371,0.8,-0.00501504,0.805015,0.794985
23420,0.8,-0.00501611,0.805016,0.794984
23470,0.8,-0.00501721,0.805017,0.794983
23521,0.8,-0.00501835,0.805018,0.794982
23571,0.8,-0.00501952,0.80502,0.79498
23620,0.8,-0.00502073,0.805021,0.794979
23671,0.8,-0.00502198,0.805022,0.794978
23721,0.8,-0.00502327,0.805023,0.794977
23771,0.8,-0.0050246,0.805025,0.794975
23820,0.8,-0.00502598,0.805026,0.794974
23870,0.8,-0.0050274,0.805027,0.794973
23920,0.8,-0.00502888,0.805029,0.794971
23970,0.8,-0.0050304,0.80503,0.79497
24020,0.8,-0.00503198,0.805032,0.794968
24070,0.8,-0.00503362,0.805034,0.794966
24120,0.8,-0.00503532,0.805035,0.794965
24170,0.8,-0.00503708,0.805037,0.794963
24221,0.8,-0.00503892,0.805039,0.794961
24271,0.8,-0.00504082,0.805041,0.794959
24320,0.8,-0.00504281,0.805043,0.794957
24370,0.8,-0.00504487,0.805045,0.794955
24421,0.8,-0.00504702,0.805047,0.794953
24471,0.8,-0.00504927,0.805049,0.794951
24521,0.8,-0.00505161,0.805052,0.794948
24570,0.8,-0.00505406,0.805054,0.794946
24620,0.8,-0.00505662,0.805057,0.794943
24670,0.8,-0.00505931,0.805059,0.794941
24721,0.8,-0.00506212,0.805062,0.794938
24771,0.8,0.0214844,0.778516,0.821484
24820,0.8,0.0214956,0.778504,0.821496
24870,0.8,0.0215074,0.778493,0.821507
24921,0.8,0.0215197,0.77848,0.82152
24970,0.8,0.0215326,0.778467,0.821533
25020,0.8,0.0215462,0.778454,0.821546
25071,0.8,0.0215606,0.778439,0.821561
25120,0.8,0.0215757,0.778424,0.821576
25170,0.8,0.0215917,0.778408,0.821592
25220,0.8,0.0216085,0.778391,0.821609
25270,0.8,0.0216264,0.778374,0.821626
25320,0.8,0.0216454,0.778355,0.821645
25370,0.8,0.0216655,0.778334,0.821666
25420,0.8,0.021687,0.778313,0.821687
25470,0.8,0.0217099,0.77829,0.82171
25520,0.8,0.0217344,0.778266,0.821734
25570,0.8,0.0217607,0.778239,0.821761
25620,0.8,0.0217889,0.778211,0.821789
25670,0.8,0.0218194,0.778181,0.821819
25720,0.8,0.0218523,0.778148,0.821852
25771,0.8,0.0614089,0.738591,0.861409
25820,0.8,0.0614966,0.738503,0.861497
25870,0.8,0.0615914,0.738409,0.861591
25921,0.8,0.0616943,0.738306,0.861694
25971,0.8,0.0618064,0.738194,0.861806
26020,0.8,0.0619289,0.738071,0.861929
26070,0.8,0.0620634,0.737937,0.862063
26120,0.8,0.0622118,0.737788,0.862212
26170,0.8,0.0623763,0.737624,0.862376
26220,0.8,0.0625595,0.73744,0.86256
26270,0.8,0.0627651,0.737235,0.862765
26320,0.8,0.0629972,0.737003,0.862997
26370,0.8,0.0632614,0.736739,0.863261
26420,0.8,0.0635647,0.736435,0.863565
26470,0.8,0.0639166,0.736083,0.863917
26520,0.8,0.0643297,0.73567,0.86433
26570,0.8,0.0648214,0.735179,0.864821
26620,0.8,0.0654164,0.734584,0.865416
26670,0.8,0.066151,0.733849,0.866151
26720,0.8,0.0670804,0.73292,0.86708
26770,0.109027,0.0093073,0.0997195,0.118334
26820,-0.1,4.50422,-4.60422,4.40422
26870,-0.1,4.48557,-4.58557,4.38557
26870,0,0,0,0
